after load_pe
    PC:  5368712003 -> 5368712032, op->size=8, di->imm.addr=27 ; disp=0, dispSize=0
    PC:  5368712011 -> 5368712032, op->size=8, di->imm.addr=19 ; disp=0, dispSize=0
    PC:  5368712025 -> 5368789476, op->size=32, di->imm.addr=77446 ; disp=0, dispSize=0
    PC:  5368712044 -> 5368789476, op->size=32, di->imm.addr=77427 ; disp=0, dispSize=0
    PC:  5368712088 -> 5368712381, op->size=32, di->imm.addr=287 ; disp=0, dispSize=0
    PC:  5368712103 -> 5368712364, op->size=32, di->imm.addr=255 ; disp=0, dispSize=0
    PC:  5368712133 -> 5368712126, op->size=8, di->imm.addr=-9 ; disp=0, dispSize=0
    PC:  5368712137 -> 5368712165, op->size=8, di->imm.addr=26 ; disp=0, dispSize=0
    PC:  5368712163 -> 5368712156, op->size=8, di->imm.addr=-9 ; disp=0, dispSize=0
    PC:  5368712172 -> 5368810696, op->size=32, di->imm.addr=98518 ; disp=0, dispSize=0
    PC:  5368712215 -> 5368777424, op->size=32, di->imm.addr=65204 ; disp=0, dispSize=0
    PC:  5368712231 -> 5368810226, op->size=32, di->imm.addr=97989 ; disp=0, dispSize=0
    PC:  5368712253 -> 5368712271, op->size=8, di->imm.addr=16 ; disp=0, dispSize=0
    PC:  5368712273 -> 5368712335, op->size=8, di->imm.addr=60 ; disp=0, dispSize=0
    PC:  5368712291 -> 5368712327, op->size=8, di->imm.addr=34 ; disp=0, dispSize=0
    PC:  5368712309 -> 5368712327, op->size=8, di->imm.addr=16 ; disp=0, dispSize=0
    PC:  5368712329 -> 5368810099, op->size=32, di->imm.addr=97764 ; disp=0, dispSize=0
    PC:  5368712353 -> 5368712364, op->size=8, di->imm.addr=9 ; disp=0, dispSize=0
    PC:  5368712359 -> 5368712097, op->size=32, di->imm.addr=-267 ; disp=0, dispSize=0
    PC:  5368712379 -> 5368712391, op->size=8, di->imm.addr=10 ; disp=0, dispSize=0
    PC:  5368712384 -> 5368711628, op->size=32, di->imm.addr=-761 ; disp=0, dispSize=0
    PC:  5368712416 -> 5368802832, op->size=32, di->imm.addr=90411 ; disp=0, dispSize=0
    PC:  5368712472 -> 5368712496, op->size=32, di->imm.addr=19 ; disp=0, dispSize=0
    PC:  5368712701 -> 5368808506, op->size=32, di->imm.addr=95800 ; disp=0, dispSize=0
    PC:  5368712730 -> 5368759776, op->size=32, di->imm.addr=47041 ; disp=0, dispSize=0
    PC:  5368712737 -> 5368713048, op->size=32, di->imm.addr=305 ; disp=0, dispSize=0
    PC:  5368712806 -> 5368808506, op->size=32, di->imm.addr=95695 ; disp=0, dispSize=0
    PC:  5368712838 -> 5368759776, op->size=32, di->imm.addr=46933 ; disp=0, dispSize=0
    PC:  5368712845 -> 5368713035, op->size=32, di->imm.addr=184 ; disp=0, dispSize=0
    PC:  5368712894 -> 5368810804, op->size=32, di->imm.addr=97904 ; disp=0, dispSize=0
    PC:  5368712908 -> 5368714340, op->size=32, di->imm.addr=1427 ; disp=0, dispSize=0
    PC:  5368712915 -> 5368713035, op->size=8, di->imm.addr=118 ; disp=0, dispSize=0
    PC:  5368712923 -> 5368712934, op->size=8, di->imm.addr=9 ; disp=0, dispSize=0
    PC:  5368712938 -> 5368810861, op->size=32, di->imm.addr=97917 ; disp=0, dispSize=0
    PC:  5368712971 -> 5368745628, op->size=32, di->imm.addr=32652 ; disp=0, dispSize=0
    PC:  5368712980 -> 5368810875, op->size=32, di->imm.addr=97889 ; disp=0, dispSize=0
    PC:  5368712991 -> 5368713116, op->size=32, di->imm.addr=120 ; disp=0, dispSize=0
    PC:  5368713023 -> 5368789604, op->size=32, di->imm.addr=76576 ; disp=0, dispSize=0
    PC:  5368713030 -> 5368783600, op->size=32, di->imm.addr=70565 ; disp=0, dispSize=0
    PC:  5368713073 -> 5368802832, op->size=32, di->imm.addr=89754 ; disp=0, dispSize=0
    PC:  5368713219 -> 5368808506, op->size=32, di->imm.addr=95282 ; disp=0, dispSize=0
    PC:  5368713257 -> 5368808506, op->size=32, di->imm.addr=95244 ; disp=0, dispSize=0
    PC:  5368713295 -> 5368808506, op->size=32, di->imm.addr=95206 ; disp=0, dispSize=0
    PC:  5368713333 -> 5368808506, op->size=32, di->imm.addr=95168 ; disp=0, dispSize=0
    PC:  5368713365 -> 5368759776, op->size=32, di->imm.addr=46406 ; disp=0, dispSize=0
    PC:  5368713372 -> 5368713562, op->size=32, di->imm.addr=184 ; disp=0, dispSize=0
    PC:  5368713402 -> 5368759776, op->size=32, di->imm.addr=46369 ; disp=0, dispSize=0
    PC:  5368713409 -> 5368713562, op->size=32, di->imm.addr=147 ; disp=0, dispSize=0
    PC:  5368713439 -> 5368759776, op->size=32, di->imm.addr=46332 ; disp=0, dispSize=0
    PC:  5368713446 -> 5368713562, op->size=8, di->imm.addr=114 ; disp=0, dispSize=0
    PC:  5368713472 -> 5368759776, op->size=32, di->imm.addr=46299 ; disp=0, dispSize=0
    PC:  5368713479 -> 5368713562, op->size=8, di->imm.addr=81 ; disp=0, dispSize=0
    PC:  5368713486 -> 5368714068, op->size=32, di->imm.addr=577 ; disp=0, dispSize=0
    PC:  5368713494 -> 5368713562, op->size=8, di->imm.addr=66 ; disp=0, dispSize=0
    PC:  5368713506 -> 5368713513, op->size=8, di->imm.addr=5 ; disp=0, dispSize=0
    PC:  5368713515 -> 5368810922, op->size=32, di->imm.addr=97401 ; disp=0, dispSize=0
    PC:  5368713525 -> 5368810939, op->size=32, di->imm.addr=97408 ; disp=0, dispSize=0
    PC:  5368713552 -> 5368742044, op->size=32, di->imm.addr=28487 ; disp=0, dispSize=0
    PC:  5368713560 -> 5368713673, op->size=8, di->imm.addr=111 ; disp=0, dispSize=0
    PC:  5368713635 -> 5368802832, op->size=32, di->imm.addr=89192 ; disp=0, dispSize=0
    PC:  5368713695 -> 5368754788, op->size=32, di->imm.addr=41088 ; disp=0, dispSize=0
    PC:  5368713712 -> 5368754788, op->size=32, di->imm.addr=41071 ; disp=0, dispSize=0
    PC:  5368713725 -> 5368714048, op->size=32, di->imm.addr=317 ; disp=0, dispSize=0
    PC:  5368713742 -> 5368754788, op->size=32, di->imm.addr=41041 ; disp=0, dispSize=0
    PC:  5368713753 -> 5368810949, op->size=32, di->imm.addr=97190 ; disp=0, dispSize=0
    PC:  5368713763 -> 5368713770, op->size=8, di->imm.addr=5 ; disp=0, dispSize=0
